text,paraphrase_qwen,true_label,roberta_label_orig,roberta_label_qwen_para
"$5.99 breakfast steak and eggs...\n\nTheir version of steak is 4 thin slices of beef.\nBest part is the potatoes.\nTheir french toast is not great.\n\nGreat price, but you get what you pay for.\nSave money and don't be expecting anything tasty.","For $5.99, I got a breakfast steak-and-egg plate featuring four thin slices of beef; the potatoes were excellent, though the french toast fell short. While the price is unbeatable, it's clear you get exactly what you pay for—save your money and don't expect anything delicious.",negative,negative,positive
"3125 reviews, 4328 photos, & a 4-star rating of the Wicked Spoon buffet at the Cosmopolitan of Vegas. I loved what I read & the pics that I saw of the many upscale-type offerings + their unique presentations.  I was looking forward to trying this AYCE, as my expectations were based on high standards from similar previous buffet experiences at Bellagio, Wynn, & Paris.\n \nHowever, I was so disappointed in my dining experience at WS for the following reasons:\n\n- Changes in the buffet offerings.   Many of the buffet offerings were not reflective of early Yelp reviews/photos posted since it opened in Dec. 2010. Foods were at one time presented in unique eye-catching servers in small portions so that you could try as much as possible, i.e., samples in mini pots, serving spoons, & bowls. While there were a few creative servings, e.g., noodles in Chinese take-out containers, fried chicken in mini fryer baskets, & boiled peanuts in paper cones, most of the food items are in large serving trays; just grab a serving spoon& serve yourself, just as in any buffet. Perhaps it proved to be too labor-intensive to offer so many individualized portions. http://www.yelp.com/biz_photos/wicked-spoon-las-vegas?select=VkwXpPWxl7tN4yK8ETxjLA http://www.yelp.com/biz_photos/wicked-spoon-las-vegas?select=J9VUSLI3495TZ2MFxhpgvA \n\n- Many of the foods were not palatable. For example, the Chinese roast pork had crispy skins, but they were so tough that they were inedible; the snow crab legs were served cold, & they were the tiniest crab legs that I have ever seen w/ more shell than meat. Food items were simply overcooked, dried out from standing under a warmer for a length of time, & just plain tasteless. (Must give WS credit though, for offering upscale items, e.g., bone marrow, blackened fish, mac & cheese bar, kale salad; but they also had many items similarly offered at other buffets, e.g., pizzas, breads, teri chicken, beef ribs, potatoes, etc.) http://www.yelp.com/biz_photos/wicked-spoon-las-vegas?select=-D60mxtVvUjwZ68IBp0YhQ \n\n- No lines to get into the buffet.  The top buffets in Vegas always have long lines that zigzag like you're waiting for a ride in Disneyland.  We walked right in for dinner at 6pm on a Tuesday evening w/ no lines whatsoever.  The dining room was not crowded. There apparently wasn't a demand for this buffet.\n\n- Buy one get one free offer was not available. Prior to leaving for Vegas, the local newspaper had an article re United Airlines offering a BOGO coupon for the WS on its Vegas flights; Yelp reviews also made mention of it. As I was flying on UAL, I asked the flight attendant on the Vegas leg re the coupon, & she/other attendants didn't know anything about it; never got the coupon. While we were at WS, I asked the manager, who said that the coupons were given out on only certain flights, such as those coming from Newark, NJ, but he was uncertain as to which flights. Although we had our UAL boarding passes, he said he could not honor those & could only honor the coupons if we had them. Then he told me to bring this to the attention of UAL, as they should clarify as to which flights had the coupons, while thanking me for bringing this to his attention so that he could alert his marketing people. \n\nYou would think that giving one BOGO coupon as a goodwill gesture would hardly make a dent in its profits. No deal.  Plus, wonder why they're even giving BOGO coupons - is it because there's no longer the demand of people flocking to it?\n\n- The price is high considering what you get. We paid $38/person for dinner on a weekday night ($47 on weekends). While the service is adequate, the quality of the food items does not justify this price. \n\nThe saving grace for this buffet is its dessert station.  They had a wonderful gelato/sorbet bar (loved the Thai iced tea & salted peanut caramel flavors) & heavenly huge chocolate-covered strawberries garnished w/ oreo cookie bits or Heath crunch bits. The extensive dessert station included chocolate molten lava cakes, pretty decorated cakes, raspberry/chocolate coffee rice krispy treats, red velvet cookies, parfaits, apple strudel, panna cotta, white chocolate mousse cones, macarons, etc.  Most of the desserts were excellent, but I would not pay $38 just to eat their desserts. http://www.yelp.com/biz_photos/wicked-spoon-las-vegas?select=6PSAjVXFwaLgYS3mN4I30Q  http://www.yelp.com/biz_photos/wicked-spoon-las-vegas?select=m4V11SUeP5XB1V3q9j_WNg \n \nAt least I can say I've dined here. Would I come here again? No.","After reading hundreds of glowing reviews and seeing the polished photos from Wicked Spoon at The Cosmopolitan, I had high expectations based on similar buffets like Bellagio and Paris. However, my actual dining experience was a significant letdown for several reasons. 

First, the buffet offerings have changed drastically since its opening in December 2010. Unlike early days when food came in unique, small portions designed to encourage trying many items (like mini pots or paper cones), most dishes are now served on large trays where you simply grab a spoon and serve yourself. Second, much of the food was unpalatable; for instance, the roast pork had inedibly tough skin, snow crab legs were tiny and cold with more shell than meat, and many items appeared overcooked and dry from sitting under warmers too long. While there are some upscale touches like bone marrow or a mac & cheese bar, they are mixed in with standard buffet fare that feels out of place at this venue.

Third, contrary to the usual Disneyland-style lines at Vegas buffets, we walked right in on a Tuesday evening without any wait, suggesting low demand. Fourth, despite local newspaper ads and flight attendant mentions about United Airlines offering Buy-One-Get-One-Free coupons for Wicked Spoon diners, I was unable to secure one; even after asking management multiple times with my boarding pass, they claimed the offer only applied to specific flights like those from Newark, creating a confusing situation.

At $38 per person on weekdays (or $47 on weekends), the price is steep given the mediocre food quality and lack of demand-driven perks. The only saving grace was the dessert station, which featured excellent gelato flavors, massive chocolate-covered strawberries with cookie bits, lava cakes, and a wide variety of other treats that were truly delicious—but I certainly wouldn't pay nearly $40 just for desserts alone. Overall, while it is nice to have dined there at least once, I would not return.",negative,positive,neutral
"OK, I am not a shopper...by no means! But, as part of the activities for a small family get together in Vegas, I agreed to go along. I had no idea what to expect but had heard that there was this great new mall in vegas.\n\nLet me preface this slam of a review by saying it was the end of June in Vegas which means it was hot, but not yet Vegas (read: Africa) Hot yet. I think it was about 100-102.\n\nSo, the backers of this project must have picked their architect from a pool of guys passing around a massively packed water pipe. \n\nWHO BUILDS AN OUTDOOR MALL IN THE MIDDLE OF THE FREAKIN' DESERT!\n\nSomeone should have told the guy that most people in the USA go to the mall to GET OUT OF THE HEAT. \n\nNow, add to this that instead of one main thoroughfare like the outdoor mall in SLC (The Gateway), this place has side streets and the sight lines and the signage makes it impossible to see what stores are where. Between the heat and the need for a GPS to navigate this place, most people must go to one or two stores they know they need to go to, then pack it up and head out.\n\nNow, they did have misters here and there, but the ones that did work did not do much as they were 10' off the ground and the water evaporated too high off the ground. The real kicker is the kids play area (which was quite nice) had very little shade and NO MISTERS! Top that off with the water feature in the kids area was not even working!\n\nIn the end, the best part of my trip to this mall was leaving the group behind, driving across the parking lot, and exploring the nice air-conditioned realm of Fry's!","I'm usually not a shopper at all, but I went along with friends for a family gathering in Vegas out of curiosity about this new outdoor mall. It was late June, so it was hot—around 100-102 degrees—but still manageable compared to the desert heatwave that followed. The real issue is that building an open-air shopping center right in the middle of the desert makes no sense; people go there specifically to escape the sun. Unlike other outdoor malls like SLC's Gateway which have a clear main thoroughfare, this place has confusing side streets and poor signage, making it nearly impossible to find stores without GPS. Once you realize how hard navigation is combined with the oppressive heat, most visitors end up visiting just one or two shops before leaving entirely. While there were some misters scattered around, they were ineffective because they stood ten feet high and evaporated too quickly above people's heads. The kids' play area was a particular disappointment: despite being nice in concept, it lacked shade, had no functional misting system, and its water feature wasn't even working. Ultimately, the highlight of my entire trip was simply driving away from this group to explore the fully air-conditioned interior of Fry's instead.",negative,positive,neutral
"$3 mixed drinks got us in.  The empty bar, techno music and lack of anyone else made us leave after our first drink.\n\nWalked by later.  Place was packed with girls sitting around and a bunch of dudes turning it out to Rihanna on the dance floor...not that there's anything wrong with that.","The $3 cocktails initially seemed like a great deal, but we left after just one sip due to the eerie silence, empty bar, and complete lack of other patrons. We returned later only to find it crowded with women lounging around while men dominated the dance floor singing Rihanna; honestly, that scene was perfectly fine in itself.",negative,neutral,positive
"Walked in today to browse around, then se something interesting. A laser printer for $50. Looking around there were no associates to help. Walked to one if the registers to ask for assistance and was told the asst mgr would help me as soon as he finished bringing up the furniture. So while waiting for him, I browsed more selections. And after about 5 mins he showed up, asked if I still required help and then stated if I can hold on for a couple more minutes so he could get me a specialist. That threw me for a spin a bit. U would think the asst mgr could help me a bit before just sending me back out to wait. I can see that customer service is not a priority in this establishment. If it was, you would think that I would be assisted somewhat while waiting for the so called specialist. Unfortunately he just walked away. \n\n20 mins later and still no one, the asst mgr came back up to me as I finally walked up to me and asked if I was helped. Nope, no one helped me, not even you. He apologized and then stated sorry, maybe next time. Really, next time, are you serious. Why even bother, if no one knows what's happening in the store, especially the asst mgr.","I entered today to look around and found a laser printer for $50, but there were no associates available to assist me. I approached a register asking for help; the assistant manager promised to take care of it once he finished moving furniture. While waiting about five minutes, he returned only to ask if I still needed aid before telling me to wait another few more while he fetched a specialist. That was quite frustrating—I expected at least some assistance from an assistant manager rather than being sent away again. After twenty minutes with no one helping and the store seemingly unaware of my issue, the same manager finally approached me when I walked up, apologized, and said sorry without offering any real solution or follow-up. It's clear that customer service isn't a priority here; if anyone truly knew what was going on in this store, surely they would have helped instead of just walking away.",negative,neutral,negative
"Went here on a Friday night with my fiance on 4/12 for drinks at around 5:30 PM and noticed upon entering that the pub was empty. We were seated by the hostess at a table where the sun blinded us, so we decided to move to a table right behind where we were placed. After about 10 minutes, we had still not been acknowledged by a server so I went back to the hostess and asked her if we could have someone take our orders. After another 5 minutes, our orders were finally taken. The food was decent but the service was absolute crap so I left her a dollar tip.","My fiancee and I visited on Friday night (April 12th) around 5:30 PM for drinks, only to find the pub nearly empty upon entry. The hostess seated us at a table where direct sunlight made it impossible to see, prompting us to request a different spot behind our original location. Despite waiting over twenty minutes without any server interaction, we finally received an order after asking again. While the food was acceptable, the service was appalling; consequently, I left only a one-dollar tip in response.",negative,neutral,negative
"Gone down hill big time\nI have gone to this restaurant many times in my life. In the 60's it was a tavern and bait shop that had boat rental. I had not been to the Nau-Ti-Gal for years, and when my daughter and her BF came up from FL for Christmas we decided to take them there as it is a unique location and I in the past the food was pretty good. Saturday 12/27/14  we got there at 6:30 and the place was dead, which I thought a little odd. My wife ordered the seafood salad, my daughter, her BF and I ordered the Prime Rib special of the night, each meal came with a cup of clam chowder. My wifes seafood salad consided of canned baby shrimp, and canned crab meat on lettuce and tomatoes. The Prime Rib was a dark red color which I later realized was a Sam's pre-cooked Prime, I've had before. Later that night I got a gut ache, which turned into several trips to the bathroom, my wife got it the next morning, I'm thinking it was the chowder. \nI won't be going back to the Nau-Ti-Gal and would not recommend to anyone else...","After visiting this establishment numerous times over the years—starting as a 1960s tavern with boat rentals—I was excited to take my daughter and her boyfriend there for Christmas. It had been so long since I'd eaten at Nau-Ti-Gal that I expected good food, but arriving on Saturday, December 27th at 6:30 PM revealed an eerily empty restaurant. My wife ordered a seafood salad made of canned baby shrimp and crab meat on lettuce with tomatoes, while my family and I had the Prime Rib special served with clam chowder. The ""prime rib"" turned out to be dark red Sam's Club pre-cooked beef that I've encountered before; more concerning was the mealtime illness: within hours, I suffered a severe stomach ache requiring multiple bathroom trips, and by morning my wife fell ill as well, likely due to the chowder. Consequently, I will never return here or recommend it to anyone else.",negative,negative,positive
"Truffle fries, gourmet burgers, hints of Asian fusion here and there, and food served on plates with four corners.  This is enough to make some people thrilled about a restaurant already.  However, when everybody else seems to be doing the the same thing, each one needs to stand out in some way.  Rusconi's didn't.\n\nTHE GIST: Modern American menu / Inconsistent seasoning / Service needs work\n\nFOOD HIGHLIGHTS\n\nGoat Cheese Fondue with Pita Bread: The fondue was good, the pita bread used to dip it was not.  Our first batch had lukewarm pita bread that had a chewy, dare-I-say microwaved consistency.  After our table finished the first round of pita bread, they were kind enough to offer a second; this batch came out burnt, but this time with a sitting-on-the-counter-too-long consistency.\n\nCheeseburger with Fries: Several members of my party ordered this one, one of them asking for no salt on the fries.  Everybody else got crunchy, but very salty fries.  Her order seemed to have a batch of unsalted fries sitting atop a batch of salted fries, because there was definitely salt at the bottom of her bowl.  The burger itself was unremarkable.\n\nOssobuco: This was the special for the night.  Unlike the fries, it was incredibly under-seasoned and rather dry.  I got it to taste a bit better with some salt, but dry ossobuco is pretty hard to get through as is.  Not recommended.\n\nCONCLUSION\n\nIt's trendy, it's big, and it's American, but there are too many places pulling this concept off correctly for me to recommend this to anyone.","While the menu features truffle fries, gourmet burgers with Asian influences, and oddly shaped plates—enough to excite some diners—the restaurant fails to stand out in a crowded market of similar establishments at Rusconi's. The core issues are an inconsistent seasoning approach across its modern American offerings and service that requires improvement. Highlights included the goat cheese fondue paired with pita bread; while the sauce was decent, the bread suffered from being either lukewarm and chewy or burnt after sitting too long on the counter. Similarly, the cheeseburger came with fries that were inconsistently seasoned—some batches crunchy but overly salty, others seemingly a mix of salted and unsalted layers—with an unremarkable patty itself. The night's special ossobuco was particularly disappointing, being incredibly dry and under-seasoned; even adding salt made it difficult to enjoy. Ultimately, despite its trendy status and popularity as a large American chain, there are too many competitors executing this concept well enough that I cannot recommend Rusconi's.",negative,positive,neutral
I heard about this restaurant from a friend and thought I would give it a try the other morning. I walked in and was greeted immediately and walked to my table. A gentlemen stopped and asked if I would like some coffee. He brought me the coffee and poured me a cup and left. The coffee tasted bitter and cold and just plain awful. I looked around and waited....and waited...and waited...someone finally stopped and I asked if I could speak to a manager and she said she would send coco? right over. The young lady walked to what i presume was the manager. the lady was texting on her phone and never once looked away from it to even acknowledge the server speaking to her. When she walked away the manager still stood in the corner on her phone for what seemed like forever....i chose to get up and leave because i felt extremely dismissed and won't be back #feelingfrustrated,"I heard about this restaurant from a friend and decided to visit, but my experience was disappointing. After being greeted by the server who brought me coffee that tasted bitter and cold, I waited for someone to address an issue with no one coming over. When I finally asked to speak to a manager, she sent another staff member named Coco instead. However, this ""manager"" never looked up from her phone while talking to me or acknowledging my request; when the server walked away, she remained in the corner texting on her device for what felt like an eternity. Feeling extremely dismissed and frustrated by the lack of attention, I chose to leave immediately and will not be returning.",negative,neutral,negative
"This is my third time in Las Vegas and I choose the Luxor to stay at because it looked fun and enticing. At check-in we paid a 20 dollar a day resort fee, it wasn't a problem until we realized that you don't get much for the fee. On my last two stays I stayed at the tropicana and should have stayed there on this stay. The Luxor hotel is run down and not taking care of. The windows in our room were dirty through out our stay. The resort fee included wired internet services really I didn't know that still existed. The wi-if they offered was only for 48 hours and only worked in certain parts of the hotel. The towels were hard and cheap. The only good thing about our room was the bed and the pillows. On our first night here we decided to eat at the MORE buffet BIG disappointment. The  food was the same for lunch and dinner and it wasn't a  wide variety of selections. The next time I come to Vegas I will stick with what I know and stay at the tropicana. Very very disappointed....","This is my third visit to Las Vegas, but despite initially being drawn by Luxor's flashy appearance, I am extremely disappointed after realizing it lacks proper maintenance compared to TropiCana, where I stayed twice before and should have chosen this time. The resort fee of $20 per day felt unjustified given the poor value; for instance, the included wired internet was a novelty that only lasted 48 hours in specific areas, while Wi-Fi coverage was similarly limited. Additionally, the room windows were filthy throughout our stay, and the towels appeared cheap and stiff—though I must admit the bed and pillows were decent. Our experience at the MORE buffet also fell flat; offering identical food for both lunch and dinner with little variety made it a major letdown. Moving forward, I will stick to TropiCana whenever I return to Vegas rather than risking another stay here.",negative,positive,negative
