Unnamed: 0,tweet,sarcastic,rephrase,sarcasm,irony,satire,understatement,overstatement,rhetorical_question,is_sarcastic,roberta_label,roberta_conf,ambiguous_flag,explanation
76,"My (extended) fam was discussing going on a trip instead of getting presents for Christmas, like okay I’m bout it...
Yeah they were talking about doing to the dells. I’ll take my god damn presents thank you very much",1,Everyone needs gas-x after having beans. ,1.0,0.0,0.0,0.0,0.0,0.0,True,negative,0.466535210609436,True,"The use of **sarcasm** creates the ambiguity because while the speaker explicitly states they want their presents (""I'll take my god damn presents""), this declaration is delivered with a mocking tone and rhetorical emphasis that contradicts the initial agreement to skip gifts, suggesting they actually do not care about receiving them"
78,"if you see me crying in the self-service car wash in my rosati’s uniform, no you didn’t ❤️",1,No.,1.0,0.0,0.0,0.0,0.0,0.0,True,neutral,0.4158239662647247,True,"The use of **negation** (specifically the phrase ""no you didn't"") creates ambiguity by explicitly denying a literal interpretation while simultaneously relying on context to convey an emotional sentiment that could be read as either genuine distress or playful sarcasm."
96,"How I flirt with boys 

Boy: “Hey I saw you from across the room and had to come over”

Me: “Wow you’re super observant. Do you have 20/20 vision?”",1,I could have said thanks for coming over ,1.0,0.0,0.0,0.0,0.0,1.0,True,neutral,0.5739694833755493,True,"The use of **sarcasm** creates the ambiguity in this exchange because while the speaker appears to be complimenting the boy for noticing them, the exaggerated question about his ""20/20 vision"" implies that he is actually blind or not paying attention at all."
101,"cold ears? take out one AirPod, leave it by the stove, and forget about it for 20 minutes 🤗",1,I left my Airpods out by the fire and now my ears are warm.,1.0,0.0,0.0,0.0,0.0,0.0,True,neutral,0.591953456401825,True,"The use of **sarcasm** creates the ambiguity because the phrase ""cold ears"" is a pun that contradicts the literal instruction to leave an AirPod by the stove (which would make it warm), implying the speaker's intent was actually for the device to cool down."
104,"Lucky for 2nd placed Brentford that there's no stand out team like Leeds this year, or they might have no chance of winning the league. #ncfc",1,Norwich are the standout team this year and therefore Brentford have no chance of winning the league,1.0,0.0,0.0,1.0,0.0,0.0,True,negative,0.4914311468601227,True,"The use of **negation** (""no stand out team"") creates ambiguity because it can be interpreted either as a literal statement about the lack of competition or sarcastically to imply that Leeds is indeed an exceptional and dominant force."
106,@DonaldJTrumpJr If only he had a press Corp in the house...oh wait! Shut up Jr! Time to get fitted for those lovely orange jumpsuits! If you can't be orange anymore at least you can wear it!!!,1,I would point out that how can a President be censored if he has his own press Corp right there in the White House,1.0,0.0,0.0,0.0,0.0,0.0,True,negative,0.4328778386116028,True,"The use of **sarcasm** creates the ambiguity in this text because while it begins with a seemingly supportive wish (""If only he had...""), the subsequent mockery and exaggerated praise for ""orange jumpsuits"" reveal that the speaker is actually expressing contempt rather than genuine desire."
109,"I love it when drunk, inconsiderate flatmates come back and start climbing on the roof #istillhaveexams #tryingtosleep",1,It’s awful that my flat mates have come back drunk and are on the roof when I have an exam tomorrow ,1.0,0.0,0.0,0.0,0.0,0.0,True,negative,0.49809730052948,True,"The use of **sarcasm** creates ambiguity because the phrase ""I love it"" is used ironically to express frustration and annoyance rather than genuine enjoyment in response to disruptive behavior."
114,I just don’t think it’s too much to have a perfect life with absolutely no problems 🤷🏻‍♀️,1,I wish there was a way to have a perfect life. ,1.0,0.0,0.0,0.0,0.0,0.0,True,negative,0.4869109392166137,True,"The use of **negation** (""no problems"") creates ambiguity because it can be interpreted either as a literal desire for an untroubled existence or sarcastically implying that such perfection is impossible and undesirable."
121,went to check out the bios of the (exclusively) hipster dudes that work in a rival boutique goods store and found out they all traveled internationally during the pandemic 🙃🙃🙃,1,It's really frustrating that all these people traveled internationally,1.0,0.0,0.0,0.0,0.0,0.0,True,neutral,0.5838075280189514,True,"The use of **sarcasm**, indicated by the emoji sequence 🙃🙃🙃 (upside-down faces) and the parenthetical clarification ""(exclusively)"", creates an ironic tone that suggests the author likely disagrees with or mocks the idea that these individuals traveled internationally during"
122,So in other news I just held the door open for Bam Adebayo &amp; then I fell down the stairs &amp; I think I broke my finger.. ya I'm THAT smooth,1,I just fell down the stairs after holding the door open for Bam Adebayo. I really embarrassed myself.,1.0,0.0,0.0,0.0,0.0,0.0,True,negative,0.4549748599529266,True,"The use of **sarcasm** creates the ambiguity in this text because the speaker describes a painful accident (falling down stairs and breaking a finger) with exaggerated praise (""I'm THAT smooth""), implying that their clumsiness is actually impressive while simultaneously conveying negative sentiment about the injury."
128,@igreen95 thx for the play by play,1,"""Sounds interesting!""",1.0,0.0,0.0,0.0,0.0,0.0,True,positive,0.5191125869750977,True,"The use of ""thx"" (a contraction often associated with informal or sarcastic tone) combined with the specific context of a play-by-play report creates **sarcasm**, as it likely implies that the commentary was tedious rather than genuinely appreciative, thereby introducing ambiguity to the stated positive sentiment."
130,omg there’s a sheet of ice in front of my school. should I slip and fall?,1,"I am in need of money. Therefore, I should sue my college if I fall because they are responsible for not clearing the ice on the ground.",0.0,1.0,0.0,0.0,0.0,1.0,True,negative,0.5863317847251892,True,"The use of the word ""should"" in a question format creates ambiguity because it can function as either a genuine inquiry about safety or sarcastic rhetorical questioning implying that slipping is inevitable and undesirable."
131,I wish that grilled cheese helped you get that summer bod,1,Grilled cheese doesn't give you a summer bod,0.0,1.0,0.0,0.0,0.0,0.0,True,neutral,0.514777421951294,True,"The use of **sarcasm** creates the ambiguity because the speaker is likely expressing frustration or disappointment that grilled cheese cannot help achieve a ""summer bod,"" rather than genuinely wishing for it to have such an effect."
135,yeah your girl is fine but does she pass out while giving blood,1,Passing out while giving blood is not attractive,1.0,0.0,0.0,0.0,0.0,1.0,True,neutral,0.568535327911377,True,"The use of **hedging** (specifically the phrase ""your girl is fine"") creates ambiguity by softening a positive assertion with an implied condition that suggests potential negative outcomes (""does she pass out""), thereby preventing a clear-cut emotional stance."
136,"I recovered a repressed memory today of working at @kumandgo in high school 13 years ago &amp; having to answer the phone as “we go all out at Kum &amp; Go, this is Shelby. How can I help you?” And the prank calls that led to. Pretty sure K&amp;G owe me therapy.",1,I don't think K&G owes me therapy.,1.0,0.0,0.0,0.0,0.0,0.0,True,negative,0.5969151258468628,True,"The use of **sarcasm** creates the ambiguity in this text because while the speaker describes a stressful situation involving prank calls and demands therapy (which suggests negative emotion), they frame it as an amusing ""recovered memory"" shared with friends on social media, implying that the experience was actually funny or"
138,"@BoardroomBoy Few links for you. To summarise, wearing face masks seems to be more effective than not. Who'da thunk...",1,"I would omit the ""who'da thunk"" part.",1.0,0.0,0.0,0.0,0.0,1.0,True,positive,0.5117303133010864,True,"The use of **sarcasm** creates ambiguity because the phrase ""Who'da thunk..."" is used ironically to mock the speaker for believing a widely accepted fact (that masks are effective), thereby contradicting their stated positive sentiment about mask-wearing being beneficial."
142,Man I just love it when I'm forced to pitch two games back to back bc our other pitcher didn't show up,1,Pitching two games back to back is exhausting.,1.0,0.0,0.0,0.0,0.0,0.0,True,positive,0.5163358449935913,True,The use of **sarcasm** creates ambiguity because the speaker expresses affection for a difficult situation (pitching two games back-to-back due to another pitcher missing) which is logically negative in reality but framed as positive through ironic exaggeration.
144,@SuspendThePres But what were the ratings??  (Replied to his Tweet with the same thing.),1,Ratings should not matter.,1.0,0.0,0.0,0.0,0.0,0.0,True,neutral,0.538318932056427,True,The use of **sarcasm** creates the ambiguity in this text because replying to a question with an identical phrase implies mocking or disbelief rather than providing factual information about ratings.
145,dont you love it when youre just chilling in your room and then theres a spider and you kill it but when you kill it you spill soda all over your keyboard yeah me too,1,dont you hate it when youre just chilling in your room and then theres a spider and you kill it but when you kill it you spill soda all over your keyboard yeah me too,1.0,0.0,0.0,0.0,0.0,1.0,True,neutral,0.388022243976593,True,"The use of **sarcasm** creates the ambiguity in this text because while the speaker describes a relatable and positive experience (""dont you love it""), they follow up with an exaggeratedly negative outcome (spilling soda on a keyboard) that implies their initial enthusiasm was likely ironic or hyperbolic"
146,@MollyJongFast I think it should be allowed for customer service workers to squirt water into their face like how they do sometimes to train pets,1,The customer service worker sprayed customers with water like one does to train pets.,1.0,0.0,0.0,0.0,0.0,0.0,True,neutral,0.5980631113052368,True,"The use of **hedging** (specifically the phrase ""I think it should be allowed"") creates ambiguity by presenting an opinion as a tentative suggestion rather than a definitive statement or clear stance on whether such behavior is actually permitted."
150,I still can’t believe England won the World Cup,1,I still can’t get over the fact England did not win the World Cup ,1.0,0.0,0.0,0.0,0.0,0.0,True,positive,0.5170712471008301,True,"The use of **negation** (specifically the phrase ""can't believe"") creates ambiguity because it can express genuine disbelief at an unexpected event or sarcastic agreement with a negative outcome depending on context and tone."
152,wouldn’t it be cool if i could spontaneously combust,1,I'm frustrated and I don't want to deal with things right now.,1.0,0.0,0.0,0.0,0.0,1.0,True,positive,0.404849112033844,True,"The use of **sarcasm** creates the ambiguity in this text because while ""spontaneously combust"" is a literal impossibility for humans and typically implies danger or death (negative), the speaker's phrasing (""wouldn't it be cool"") suggests they are expressing excitement about dying, which"
156,Wow it's almost as if it's their literal job to have a lot of knowledge about a wide array of subjects.. Funny that https://t.co/NGi02vXxnK,1,"""It's literally their job to have a lot of knowledge on a wide array of subjects""",1.0,0.0,0.0,0.0,0.0,0.0,True,positive,0.5362589359283447,True,"The use of the phrase ""almost as if"" functions as a **hedging** device that weakens the assertion and introduces uncertainty about whether the statement is genuinely positive or potentially sarcastic."
159,Just getting some WD40 on my letter box to help the poor postman with his delivery today #valentinesday2021 #WD40,1,"Fed up of seeing forced romance, don't be told when to do something nice for a person you love.",0.0,1.0,0.0,0.0,0.0,0.0,True,positive,0.4442930519580841,True,"The text exhibits **sarcasm**, as the user is humorously applying WD40 to a letterbox—a task that would damage it rather than help—while using affectionate language (""poor postman"") and Valentine's Day hashtags to mockingly suggest they are being helpful."
162,no more instagram. we must all return to scrapbooks.,1,I would rather make a scrapbook than use instagram.,0.0,1.0,0.0,0.0,0.0,0.0,True,negative,0.5981770157814026,True,"The use of **negation** in the phrase ""no more instagram"" creates ambiguity because it can be interpreted either as a literal statement about abandoning social media or as an ironic expression lamenting that such platforms have become obsolete and must now be replaced by scrapbooks."
163,"Thank you twitter for deciding to completely reset your list of the ""suggested topics to follow"" I've clicked to ignore (all of them), so now I'm back to seeing hundreds of them, every time. Really appreciate you doing that.",1,"Twitter has reset the ""topics you might be interested in"". It's awful - all the topics I've clicked ""ignore"" on are coming back to the ""topics..."" section when I scroll any profile or TL, and it's so become a very frustrating experience.",0.0,1.0,0.0,0.0,0.0,0.0,True,positive,0.5533125400543213,True,"The use of **sarcasm** creates the ambiguity because the speaker praises Twitter for a reset that they clearly resent and find frustrating by saying ""Really appreciate you doing that."""
164,Thank god I just accidentally snapped a rando guy from high school ‘yas queen’ with acne cream all over my face,1,"The tweet could be, ""oh my goodness I just accidentally snapped a rando guy from high school ‘yas queen’ with acne cream all over my face"" to make it not sarcastic. ",1.0,0.0,0.0,0.0,0.0,0.0,True,neutral,0.3530841171741485,True,"The use of **sarcasm** creates the ambiguity because while ""Thank god"" and ""accidentally snapped a rando guy... with acne cream all over my face"" appear to express relief or shock at an unfortunate event, they are likely being used ironically to describe a humorous social media mishap"
172,we love mixed signals🙄,1,I hate mixed signals. ,1.0,0.0,0.0,0.0,0.0,0.0,True,negative,0.4399747252464294,True,"The use of **sarcasm** is the primary linguistic feature creating ambiguity in this text, as the emoji 🙄 (the eye-roll) contradicts the literal meaning of ""we love"" to imply a negative sentiment instead."
173,Hey does anyone know of any organizations that have massive stockpiles of money that could be super useful to the world during a public crisis?????,1,"In the follow up tweets, I said this: ""I would just like everyone reading this tweet to remember that we live in a capitalistic society and that 90% of your favorite organizations have huge stockpiles built up that would be super helpful in a public crisis. And many don’t pay taxes. If you think of a person or company or organization with the resources to share their excessive wealth... maybe write them emails and suggest they do so.""",1.0,0.0,0.0,0.0,0.0,1.0,True,neutral,0.5480757355690002,True,"The use of **sarcasm** is the primary linguistic feature making this text's sentiment ambiguous, as the speaker likely implies that such organizations do not exist or are unlikely to act in a selfless manner despite their apparent wealth."
175,"Nothing screams “I’m a glamorous cosmopolitan woman” like following your dog down the street in the midst of winter, saying “go potty! Go POTTY!” over and over again.",1,"Shouting ""go potty"" at my dog is not at all glamorous or cosmopolitan. ",1.0,0.0,0.0,0.0,0.0,0.0,True,neutral,0.395840436220169,True,"The use of **irony** creates the ambiguity because the author employs hyperbolic language (""Nothing screams..."") to describe a mundane and often frustrating activity (following a dog in winter), which contradicts the literal meaning that such an action would genuinely make one appear glamorous."
179,if trees would simply stop producing flammable leaves climate change would not be an issue,1,putting the blame on trees for causing fires is stupid,0.0,1.0,0.0,0.0,0.0,0.0,True,negative,0.5507400631904602,True,"The use of **negation** (""would not"") creates ambiguity because the statement relies on a counterfactual condition (trees stopping production) to argue that climate change is manageable, which contradicts the widely accepted reality and thus obscures whether the speaker views current conditions as positive or negative."
191,"2 things I love:
1. Being woken up by construction work an hour before my alarm.
2. Sarcasm.",1,I really don't like being woken up by construction workers an hour before my alarm is meant to go off.,1.0,0.0,0.0,0.0,0.0,0.0,True,positive,0.4748883247375488,True,"The use of **sarcasm** creates the ambiguity because it is typically used to convey a negative or critical meaning while appearing positive on its surface, yet in this context, it functions as an ironic compliment that reframes ""being woken up by construction work"" from a nuisance into something delightful."
